cache_size_log2,line_size_log2,set_size_log2,hits,accesses
12,4,4,500584,515684
12,4,5,500746,515684
12,4,6,500794,515684
12,4,7,500789,515684
12,4,8,500777,515684
12,5,0,489098,515684
12,5,1,499166,515684
12,5,2,503399,515684
12,5,3,505241,515684
12,5,4,505711,515684
12,5,5,506077,515684
12,5,6,506243,515684
12,5,7,506255,515684
12,6,0,488883,515684
12,6,1,499140,515684
12,6,2,501927,515684
12,6,3,506288,515684
12,6,4,506713,515684
12,6,5,507039,515684
12,6,6,507132,515684
12,7,0,479159,515684
12,7,1,494238,515684
12,7,2,497214,515684
12,7,3,503029,515684
12,7,4,503583,515684
12,7,5,504084,515684
12,8,0,468291,515684
12,8,1,482621,515684
12,8,2,486340,515684
12,8,3,494324,515684
12,8,4,497898,515684
13,3,0,483978,515684
13,3,1,490971,515684
13,3,2,491961,515684
13,3,3,492170,515684
13,3,4,492248,515684
13,3,5,492281,515684
13,3,6,492277,515684
13,3,7,492282,515684
13,3,8,492280,515684
13,3,9,492289,515684
13,3,10,492314,515684
13,4,0,494225,515684
13,4,1,500839,515684
13,4,2,502023,515684
13,4,3,502289,515684
13,4,4,502310,515684
13,4,5,502333,515684
13,4,6,502362,515684
13,4,7,502375,515684
13,4,8,502396,515684
13,4,9,502372,515684
13,5,0,497903,515684
13,5,1,505401,515684
13,5,2,507180,515684
13,5,3,507494,515684
13,5,4,507566,515684
13,5,5,507623,515684
13,5,6,507639,515684
13,5,7,507622,515684
13,5,8,507637,515684
13,6,0,496983,515684
13,6,1,507402,515684
13,6,2,509503,515684
13,6,3,509981,515684
13,6,4,510134,515684
13,6,5,510298,515684
13,6,6,510388,515684
13,6,7,510374,515684
13,7,0,489922,515684
13,7,1,506211,515684
13,7,2,509584,515684
13,7,3,510558,515684
13,7,4,510793,515684
13,7,5,511211,515684
13,7,6,511324,515684
13,8,0,482617,515684
13,8,1,499997,515684
13,8,2,505319,515684
13,8,3,506577,515684
13,8,4,507985,515684
13,8,5,508348,515684
14,3,0,489636,515684
14,3,1,492591,515684
14,3,2,493049,515684
14,3,3,493194,515684
14,3,4,493206,515684
14,3,5,493222,515684
14,3,6,493270,515684
14,3,7,493273,515684
14,3,8,493289,515684
14,3,9,493287,515684
14,3,10,493302,515684
14,3,11,493285,515684
14,4,0,499741,515684
14,4,1,502578,515684
14,4,2,503049,515684
14,4,3,503187,515684
14,4,4,503221,515684
14,4,5,503220,515684
14,4,6,503264,515684
14,4,7,503261,515684
14,4,8,503269,515684
14,4,9,503279,515684
14,4,10,503274,515684
14,5,0,504688,515684
14,5,1,507776,515684
14,5,2,508327,515684
14,5,3,508484,515684
14,5,4,508526,515684
14,5,5,508523,515684
14,5,6,508560,515684
14,5,7,508574,515684
14,5,8,508586,515684
14,5,9,508588,515684
14,6,0,506362,515684
14,6,1,510126,515684
14,6,2,510979,515684
14,6,3,511179,515684
14,6,4,511216,515684
14,6,5,511217,515684
14,6,6,511239,515684
14,6,7,511249,515684
14,6,8,511251,515684
14,7,0,503951,515684
14,7,1,510424,515684
14,7,2,512007,515684
14,7,3,512479,515684
14,7,4,512505,515684
14,7,5,512510,515684
14,7,6,512512,515684
14,7,7,512516,515684
14,8,0,498723,515684
14,8,1,506533,515684
14,8,2,511385,515684
14,8,3,512594,515684
14,8,4,512900,515684
14,8,5,512956,515684
14,8,6,513032,515684
